w-full src,font-bold,text-sm,mx-2,hidden,text-sm href,text-sm (2),text-sm (3),text-red-500,text-lg
https://media-cdn.factba.se/realdonaldtrump-twitter/694963798273323008.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 2:20 PM ET",https://x.com/realdonaldtrump/status/694963798273323008,View on X,This was sent out from Ted Cruz- as Iowans arrived at their caucus sites to vote. #CruzFraud pic.twitter.com/tRM7KUCrSU,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694960957928431617.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 2:09 PM ET",https://x.com/realdonaldtrump/status/694960957928431617,View on X,I will be interviewed on @greta at 7:00 P.M. Enjoy! @FoxNews,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694890328273346560.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 9:28 AM ET",https://x.com/realdonaldtrump/status/694890328273346560,View on X,"Based on the fraud committed by Senator Ted Cruz during the Iowa Caucus, either a new election should take place or Cruz results nullified.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694888332099239936.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 9:21 AM ET",https://x.com/realdonaldtrump/status/694888332099239936,View on X,"And finally, Cruz strongly told thousands of caucusgoers (voters) that Trump was strongly in favor of ObamaCare and ""choice"" - a total lie!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694885775431835648.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 9:10 AM ET",https://x.com/realdonaldtrump/status/694885775431835648,View on X,The Voter Violation certificate gave poor marks to the unsuspecting voter(grade of F) and told them to clear it up by voting for Cruz. Fraud,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694884902618165248.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 9:07 AM ET",https://x.com/realdonaldtrump/status/694884902618165248,View on X,"Many people voted for Cruz over Carson because of this Cruz fraud. Also, Cruz sent out a VOTER VIOLATION certificate to thousands of voters.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694882228665507840.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 8:56 AM ET",https://x.com/realdonaldtrump/status/694882228665507840,View on X,"During primetime of the Iowa Caucus, Cruz put out a release that @RealBenCarson was quitting the race, and to caucus (or vote) for Cruz.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694879900256354304.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 8:47 AM ET",https://x.com/realdonaldtrump/status/694879900256354304,View on X,"Ted Cruz didn't win Iowa, he stole it. That is why all of the polls were so wrong and why he got far more votes than anticipated. Bad!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694878058633936896.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 8:41 AM ET",https://media-cdn.factba.se/realdonaldtrump-twitter/694878058633936896.jpg,View Image,"Ted Cruz didn't win Iowa, he illegally stole it. That is why all of the polls were so wrong any why he got more votes than anticipated. Bad!",• Deleted,
https://media-cdn.factba.se/realdonaldtrump-twitter/694750254378422272.jpg,Donald Trump,@realDonaldTrump,•,"February 3, 2016 @ 12:12 AM ET",https://x.com/realdonaldtrump/status/694750254378422272,View on X,Great job on @donlemon tonight @kayleighmcenany @cherijacobus begged us for a job. We said no and she went hostile. A real dummy! @CNN,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694604609906700288.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 7:33 PM ET",https://media-cdn.factba.se/realdonaldtrump-twitter/694604609906700288.jpg,View Image,RT @namusca: #VoteTrump2016 a real leader that truly cares about America & our values. He wants to bring prosperity back 2 USA https://t.co...,• Deleted,
https://media-cdn.factba.se/realdonaldtrump-twitter/694601825794801664.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 7:22 PM ET",https://x.com/realdonaldtrump/status/694601825794801664,View on X,RT @JoeNBC: Remarkable how cost-effective Post says Trump campaign was per vote and stunning how much Jeb spent per vote. https://t.co/A28...,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694594899614789632.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 6:55 PM ET",https://x.com/realdonaldtrump/status/694594899614789632,View on X,RT @IngrahamAngle: The #CruzCrew prevailed! Smart for @MarcoRubio to keep his speech short & sweet. Ditto for @realDonaldTrump who was brie...,,
https://media-cdn.factba.se/realdonaldtrump-twitter/694647454365552640.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 5:23 PM ET",https://x.com/realdonaldtrump/status/694647454365552640,View on X,"On my way to New Hampshire- expecting a big and spirited crowd! 
#FITN #Trump2016
 https://www.facebook.com/DonaldTrump/posts/10156599412210725:0 … pic.twitter.com/9Hb7JO3wrZ",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694611948940443648.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 3:02 PM ET",https://x.com/realdonaldtrump/status/694611948940443648,View on X,"Anybody who watched all of Ted Cruz's far too long, rambling, overly flamboyant speech last nite would say that was his Howard Dean moment!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694607450750717952.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:44 PM ET",https://x.com/realdonaldtrump/status/694607450750717952,View on X,"""@stephbewitching @realDonaldTrump All you haters need to realize Trump got the second highest vote in history. And he's never held office!""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694606525835431936.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:41 PM ET",https://x.com/realdonaldtrump/status/694606525835431936,View on X,"""@restorereality Iowa is meaningless...keep pushing forward, run the table in NH SC NV and Super Tuesday. America needs you! #TrumpTrain""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694603879330287616.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:30 PM ET",https://x.com/realdonaldtrump/status/694603879330287616,View on X,"""@ellenEspence @realDonaldTrump Amazing job in Iowa! Cruz just barely won.""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694602643201744900.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:25 PM ET",https://x.com/realdonaldtrump/status/694602643201744900,View on X,"""@93101Dianne @realDonaldTrump if you can do that well in Iowa then I see you acing it in all other significant states. Momentum is growing""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694601530650050560.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:21 PM ET",https://x.com/realdonaldtrump/status/694601530650050560,View on X,"""@LoreWestphal @realDonaldTrump You MUST win the Presidency in 2016 !!!""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694600151894212608.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 2:15 PM ET",https://x.com/realdonaldtrump/status/694600151894212608,View on X,".@Morning_Joe @mikebarnicle on @realDonaldTrump: He finished 2nd but he made the turn successfully like a pro""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694560681090248704.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 11:39 AM ET",https://x.com/realdonaldtrump/status/694560681090248704,View on X,"I don't believe I have been given any credit by the voters for self-funding my campaign, the only one. I will keep doing, but not worth it!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/694559410488737793.jpg,Donald Trump,@realDonaldTrump,•,"February 2, 2016 @ 11:34 AM ET",https://x.com/realdonaldtrump/status/694559410488737793,View on X,I will be talking about my wonderful experience in Iowa and the simultaneous unfair treatment by the media-later in New Hampshire. Big crowd,,
